request_id,employee_id,employee_name,department,employee_submission_duration,submit_date,manager_approval_date,accounting_review_date,payment_date,amount,expense_category,rejection_reason,status
1,101,Alice Johnson,Sales,87,2024-06-01 10:00:00,2024-06-06 14:00:00,2024-06-13 11:30:00,2024-06-25 09:00:00,150.75,Meals,,Paid
2,102,Bob Smith,Marketing,45,2024-06-02 11:30:00,2024-06-08 10:00:00,2024-06-16 13:00:00,2024-06-28 10:30:00,500.00,Travel,,Paid
3,103,Charlie Brown,Engineering,102,2024-06-03 09:15:00,2024-06-09 16:00:00,2024-06-17 10:00:00,,25.50,Office Supplies,,Approved
4,104,Diana Prince,HR,66,2024-06-04 14:45:00,,,,75.00,Training,,Pending
5,105,Eve Adams,Finance,33,2024-06-05 16:00:00,2024-06-11 09:30:00,2024-06-19 11:00:00,,1200.00,Software,,Approved
6,101,Alice Johnson,Sales,78,2024-06-06 09:30:00,2024-06-12 10:00:00,2024-06-20 15:00:00,2024-07-02 11:00:00,89.99,Client Entertainment,,Paid
7,106,Frank White,Marketing,95,2024-06-07 13:00:00,2024-06-13 14:00:00,,,350.00,Travel,Missing receipts,Rejected
8,107,Grace Lee,Engineering,38,2024-06-08 10:00:00,2024-06-11 11:00:00,2024-06-18 10:00:00,2024-06-30 10:00:00,45.20,Meals,,Paid
9,108,Henry King,Sales,110,2024-06-09 15:00:00,,,,200.00,Training,,Pending
10,109,Ivy Chen,HR,60,2024-06-10 08:30:00,2024-06-15 09:00:00,2024-06-23 10:00:00,,60.00,Office Supplies,,Approved
11,110,Jack Green,Finance,72,2024-06-11 11:00:00,2024-06-16 13:00:00,2024-06-24 15:00:00,2024-07-06 10:00:00,2500.00,Software,,Paid
12,102,Bob Smith,Marketing,48,2024-06-12 14:00:00,2024-06-18 09:00:00,2024-06-26 11:00:00,,180.50,Client Entertainment,,Approved
13,103,Charlie Brown,Engineering,115,2024-06-13 10:00:00,,,,30.00,Office Supplies,,Pending
14,104,Diana Prince,HR,55,2024-06-14 16:00:00,2024-06-19 10:00:00,2024-06-27 11:00:00,2024-07-09 10:00:00,95.00,Training,,Paid
15,105,Eve Adams,Finance,30,2024-06-15 09:00:00,2024-06-20 10:00:00,2024-06-28 14:00:00,,750.00,Software,,Approved
16,101,Alice Johnson,Sales,92,2024-06-16 11:00:00,,,,120.00,Meals,,Pending
17,106,Frank White,Marketing,68,2024-06-17 10:00:00,2024-06-22 11:00:00,2024-06-30 10:00:00,2024-07-12 10:00:00,400.00,Travel,,Paid
18,107,Grace Lee,Engineering,35,2024-06-18 14:00:00,2024-06-23 09:00:00,2024-07-01 10:00:00,,55.00,Office Supplies,,Approved
19,108,Henry King,Sales,112,2024-06-19 09:00:00,2024-06-24 10:00:00,,,150.00,Training,Duplicate request,Rejected
